name;id;popularity;embedding
Luke Combs;718COspgdWOnwOFpJHRZHS;86;"[ 6.430145    5.852474   -0.05994193  0.99711835 -3.1037312  -2.3365328
 -3.3981695  -2.5326884  -0.40940928 -0.94965255  0.3565786   2.2302887
 -0.9230819  -2.3038194  -3.1923296  -1.5359725 ]"
Maroon 5;04gDigrS5kc9YWfZHwBETP;86;"[ 0.29457745 -0.5679245   1.1536146  -1.2632174  -1.5510122  -2.15221
 -2.2155437  -0.93830645 -1.0243852   1.4022648  -0.8306748   0.77221185
  1.1020671   2.6827915   0.3111659  -1.840751  ]"
Melanie Martinez;63yrD80RY3RNEM2YDpUpO8;86;"[ 0.6591078  -2.1462002   0.5457007   0.78074926 -0.5768965  -0.79084146
  0.38645643 -1.0995313  -0.13909627  0.68129754  0.93843365  1.1594815
  0.6702939   2.6564052  -0.04235969 -3.1022654 ]"
One Direction;4AK6F7OLvEQ5QYCBNiQWHq;86;"[ 0.26688388  0.28551257  1.0030302  -0.8422294  -1.7879997  -1.2124497
 -1.8782402  -1.262343   -1.3655331   1.4426292  -0.8163973   0.25502923
  1.3559135   2.367428    0.06899755 -3.4380996 ]"
Selena Gomez;0C8ZW7ezQVs4URX5aX7Kqx;86;"[-0.24114391 -0.34928212  1.1336598  -0.00871131 -2.1112127  -2.145614
  0.00471229 -1.2783216  -1.3316307   0.25796726 -0.7699821   0.6581557
  0.5639585   2.5876155   0.06828071 -2.9670947 ]"
Frank Ocean;2h93pZq0e7k5yf4dywlkpM;85;"[-0.2820849  -3.2036123  -0.85567683 -1.024055   -3.5697045  -1.8338776
 -0.7477743  -0.6614689   1.4282367  -0.8261286  -0.6659707  -0.933795
 -1.3364357   1.5059122  -1.1358795  -1.7251948 ]"
JAY Z;3nFkdlSjzX9mRTtwJOzDYB;85;"[-2.7374415  -1.3054531   0.86225605 -1.7983332  -0.4903766  -4.8019166
 -1.8628687  -1.1622293   0.32062635 -0.22046559  0.2923988  -0.28394744
 -0.8621665   2.6727777  -0.6654962  -1.0538043 ]"
Katy Perry;6jJ0s89eD6GaHleKKya26X;85;"[-0.51890576  0.30793422 -0.02284505 -1.8649063  -1.1073571  -2.503278
 -1.7998561  -1.4490077  -2.3408768   0.84634155 -1.0769969   0.53764117
  0.6091716   2.7638721   0.17145862 -2.3653235 ]"
Maluma;1r4hJ1h58CWwUQe3MxPuau;85;"[-0.94537413 -0.26793206  4.274908   -2.001323   -2.7070153  -0.54888725
  5.1060243   1.6497219  -0.37439454  3.0002894   1.8640419  -0.67739123
  2.7368548  -1.9789209  -2.8244674   2.8747113 ]"
Manuel Turizo;0tmwSHipWxN12fsoLcFU3B;85;"[-0.19003856  0.31399792  3.3103914  -0.03672933 -0.8552632   0.42088735
  5.562123    1.8212539  -0.32751054  2.0190754   1.614446   -1.6974089
  2.1966896  -3.4833627  -1.9563009   1.539753  ]"
NF;6fOMl44jA4Sp5b9PpYCkzz;85;"[-0.49894005 -0.79234713  0.13971476  2.0700796   0.2896311  -2.0878453
 -0.06115315  0.5349807   2.658311   -0.5523499   0.58962107  0.26671124
  0.86927414  0.62946993 -0.95499176 -2.8051062 ]"
Queen;1dfeR4HaWDbWqFHLkxsg1d;85;"[-0.98802227  1.3736192  -2.1098742  -3.695744   -0.8189973   1.967771
 -3.919074    1.1680876  -0.37625754 -0.6371622   0.4817766   3.9138088
  0.61865735  4.43114     2.481364    0.81246984]"
Sia;5WUlDfRSoLAfcVSX1WnrxN;85;"[ 0.03310176 -1.0078306   1.7356431  -0.15184875 -1.3716016  -0.98188496
 -1.1478529  -1.1948484  -0.903424    1.0697631  -0.94693285 -0.04870034
  0.46080735  3.026986   -0.261567   -2.210403  ]"
The Beatles;3WrFJ7ztbogyGnTHbHJFl2;85;"[-0.62072533  0.31234792 -1.4983478  -3.7118187  -1.484178    2.6405368
 -4.000556    1.8233746  -0.07469712 -0.26649162  0.45762536  3.102673
 -0.20958832  2.2731721   2.617624    0.21341865]"
Tiësto;2o5jDhtHVPhrJdv3cEQ99Z;85;"[-7.9710710e-01 -1.5664196e-01  3.0814276e+00  1.2160577e+00
  2.3551284e-01 -1.7626427e+00 -1.8823402e-02  8.4329486e-02
 -1.4820157e+00  1.6522358e-01 -2.3828797e+00  1.4327277e+00
  3.0630806e-03  3.6537018e+00 -2.0320716e+00 -9.2329055e-02]"
Young Thug;50co4Is1HCEo8bhOyUWKpn;85;"[-2.7613828  -2.0762124   1.0141214  -0.93993455 -2.4985895  -4.634142
 -0.9352168   0.6624628   2.068746   -3.1091866   1.2834982  -0.31434706
  0.46033835  1.3053695  -2.8316329  -1.728195  ]"
50 Cent;3q7HBObVc0L8jNeTe5Gofh;84;"[-2.9380274  -0.6240985   0.02309906 -2.508161   -0.50446767 -5.3512444
 -1.1184317  -1.166475    0.13646057  0.08932844 -0.09003624  0.2917257
 -1.0530025   1.5821567  -0.45676234 -0.5964053 ]"
